Country,ISO,submission,submission_label,previous_submission,submission_type,submission_type_label,submission_date,indc_submission,indc_submission_label,pa_status,pa_status_label,pa_ratified,pa_ratified_label,pa_ratified_date,pa_withdraw_date,pa_sign,pa_sign_label,pa_sign_date,ndce_ghg,ndce_compare,ndce_status_2020,ndce_status_2020_label,ndce_statement,ndce_source,ndce_date,nz_status,nz_status_label,nz_source,nz_year,nz_year_label,nz_ghg,nz_ghg_label,nz_sec,nz_sec_label,nz_offset,nz_offset_label,nz_ship,nz_ship_label,nz_separate_net_gross,nz_separate_net_gross_label
Burundi,BDI,2020 NDC (Updated First NDC),New or Updated NDC,First NDC,Updated First NDC,Updated First NDC,10/5/2021,INDC Submitted,INDC Submitted,Joined Agreement,Joined Agreement,Yes,Yes,1/17/2018,,Yes,Yes,4/22/2016,0.02%,Compare with previous NDC,Submitted New or Updated NDC with Reduced Total Emissions,Submitted New or Updated NDC with Reduced Total Emissions,"Burundi commits to reduce GHG emissions by 1.58% and 3.04% (unconditional) and 11.40 and 12.61% (conditional) by 2025 and 2030 respectively, compared to BAU. ","<a href=""https://unfccc.int/sites/default/files/NDC/2022-06/CDN   Burundi ANNEXE 1.pdf"">Burundi First NDC (Updated submission)</a>",10/5/2021,,,,,,,,,,,,,,,
Cambodia,KHM,2020 NDC (Updated First NDC),New or Updated NDC,First NDC,Updated First NDC,Updated First NDC,12/30/2020,INDC Submitted,INDC Submitted,Joined Agreement,Joined Agreement,Yes,Yes,2/6/2017,,Yes,Yes,4/22/2016,0.14%,Compare with previous NDC,Submitted New or Updated NDC,Submitted New or Updated NDC,"Cambodia commits to reduce GHG emissions by 41.7% (64.6 MtCO2e, of which 59.1% from FOLU) compared to BAU in 2030.","<a href=""https://unfccc.int/sites/default/files/NDC/2022-06/20201231_NDC_Update_Cambodia.pdf"">Cambodia First NDC (Updated submission)</a> ",12/30/2020,In Policy Document,Net-zero Target in Policy Document,"<a href=""https://unfccc.int/sites/default/files/resource/KHM_LTS_Dec2021.pdf"">Long-term strategy for Carbon Neutrality (LTS4CN) for Cambodia</a> (12/30/2021)",2050,2050 as Target Year,Partial GHG Coverage,Partial GHG Coverage,All sectors,All Domestic Sectors Covered,International Offsets Not Included,International Offsets Not Included,Unclear or Undecided,Unclear or Undecided,Net Target Only,Net Target Only
Cameroon,CMR,2020 NDC (Updated First NDC),New or Updated NDC,First NDC,Updated First NDC,Updated First NDC,10/11/2021,INDC Submitted,INDC Submitted,Joined Agreement,Joined Agreement,Yes,Yes,7/29/2016,,Yes,Yes,4/22/2016,0.25%,Compare with previous NDC,Submitted New or Updated NDC with Reduced Total Emissions,Submitted New or Updated NDC with Reduced Total Emissions,"Cameroon commits to reducing its emissions by 35% by 2030 compared to BAU (12% unconditional, 23% conditional). ","<a href=""https://unfccc.int/sites/default/files/NDC/2022-06/CDN r%C3%A9vis%C3%A9e CMR finale sept 2021.pdf"">Cameroon First NDC (Updated submission)</a>; <a href=""https://unfccc.int/sites/default/files/NDC/2022-06/Lettre%20officielle%20CDN%20Cameroun%202021.pdf"">Addendum</a>",10/11/2021,,,,,,,,,,,,,,,
Canada,CAN,2020 NDC (Updated First NDC),New or Updated NDC,First NDC,Updated First NDC,Updated First NDC,7/12/2021,INDC Submitted,INDC Submitted,Joined Agreement,Joined Agreement,Yes,Yes,10/5/2016,,Yes,Yes,4/22/2016,1.56%,Compare with previous NDC,Submitted New or Updated NDC with Reduced Total Emissions,Submitted New or Updated NDC with Reduced Total Emissions,"""Canada is committed to a 2030 target of 40-45% below 2005 levels.""","<a href=""https://unfccc.int/sites/default/files/NDC/2022-06/Canada%27s Enhanced NDC Submission1_FINAL EN.pdf"">Canada First NDC (Updated submission)</a> ",7/12/2021,In Policy Document (07/12/2021)<br>In Law (06/29/2021)<br>In Political Pledge (12/12/2020),Net-zero Target in Law,"<a href=""https://unfccc.int/sites/default/files/resource/LTS%20Full%20Draft_Final%20version_oct31.pdf"">Exploring Approaches for Canada’s Transition to Net-Zero Emissions</a> (10/31/22); <a href=https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Canada%20First/Canada's%20Enhanced%20NDC%20Submission1_FINAL%20EN.pdf>Canada First NDC (Updated submission)</a> (07/12/2021)<br><a href=https://parl.ca/DocumentViewer/en/43-2/bill/C-12/royal-assent#ID0EBDBA>Canadian Net-Zero Emissions Accountability Act</a> (06/29/2021)<br><a href=https://www.climateambitionsummit2020.org/ondemand.php>Climate Ambition Summit 2020</a> (12/12/2020)",2050,2050 as Target Year,All GHGs Covered,All GHGs Covered,All Sectors,All Domestic Sectors Covered,Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Net Target Only,Net Target Only
Cape Verde,CPV,2020 NDC (Updated First NDC),New or Updated NDC,First NDC,Updated First NDC,Updated First NDC,4/5/2021,INDC Submitted,INDC Submitted,Joined Agreement,Joined Agreement,Yes,Yes,9/21/2017,,Yes,Yes,4/22/2016,0.00%,Compare with previous NDC,Submitted New or Updated NDC,Submitted New or Updated NDC,Cape Verde commits to reduce GHG emissions by 18% (unconditional) and 24% (conditional) by 2030 compared to BAU.,"<a href=""https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Cabo%20Verde%20First/Cabo%20Verde_NDC%20Update%202021.pdf"">Cabo Verde Updated First NDC</a>",4/5/2021,In Policy Document,Net-zero Target in Policy Document,"<a href=""https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Cabo%20Verde%20First/Cabo%20Verde_NDC%20Update%202021.pdf"">Cabo Verde Updated First NDC</a>",2050,2050 as Target Year,GHG Coverage Unclear or Undecided,GHG Coverage Unclear or Undecided,All sectors,All Domestic Sectors Covered,International Offsets Included,International Offsets Included,Unclear or Undecided,Unclear or Undecided,Net Target Only,Net Target Only
Central African Republic,CAF,2020 NDC (Updated First NDC),New or Updated NDC,First NDC,Updated First NDC,Updated First NDC,1/24/2022,INDC Submitted,INDC Submitted,Joined Agreement,Joined Agreement,Yes,Yes,10/11/2016,,Yes,Yes,4/22/2016,0.09%,Compare with previous NDC,Submitted New or Updated NDC with Reduced Total Emissions,Submitted New or Updated NDC with Reduced Total Emissions,Central African Republic commits to reducing its emissions by 9.03% by 2025 and 11.82% by 2030 compared to BAU (unconditional); and by 14.64% by 2025 and 24.28% by 2030 compared to BAU (conditional). ,"<a href=""https://unfccc.int/sites/default/files/NDC/2022-06/CDN Revis%C3%A9e RCA.pdf"">Central African Republic First NDC (Updated submission)</a>",1/24/2022,,,,,,,,,,,,,,,
Chad,TCD,2020 NDC (Updated First NDC),New or Updated NDC,First NDC,Updated First NDC,Updated First NDC,10/19/2021,INDC Submitted,INDC Submitted,Joined Agreement,Joined Agreement,Yes,Yes,1/12/2017,,Yes,Yes,4/22/2016,0.21%,Compare with previous NDC,Submitted New or Updated NDC,Submitted New or Updated NDC,Chad commits to reducing its emissions by 0.5% (unconditional) and 19.3% (conditional) by 2030 compared to BAU.,"<a href=""https://unfccc.int/sites/default/files/NDC/2022-06/CDN ACTUALISEE DU TCHAD.pdf"">Chad First NDC (Updated submission)</a>",10/19/2021,,,,,,,,,,,,,,,
Chile,CHL,2020 NDC (Updated First NDC),New or Updated NDC,First NDC,Updated First NDC,Updated First NDC,4/9/2020,INDC Submitted,INDC Submitted,Joined Agreement,Joined Agreement,Yes,Yes,2/10/2017,,Yes,Yes,9/20/2016,0.11%,Compare with previous NDC,Submitted New or Updated NDC with Reduced Total Emissions,Submitted New or Updated NDC with Reduced Total Emissions,Chile commits to peak emissions in 2025 and to limit emissions at 95 MtCO2e by 2030. ,"<a href=""https://unfccc.int/sites/default/files/NDC/2022-06/NDC_Chile_2020_espan%CC%83ol.pdf"">NDC Registry</a>",4/9/2020,In Law (9/8/2022); In Policy Document (4/8/2020),Net-zero Target in Law,"<a href=""https://storage.googleapis.com/cclow-staging/fftaqyusmy0ec69fajyqhsng25jz?GoogleAccessId=laws-and-pathways-staging%40soy-truth-247515.iam.gserviceaccount.com&Expires=1664553246&Signature=grDWJCAJYoJxMmcJU03YEneO2Cv70%2BOe4IrBAMQTj2S0jdvPli8Kw2FNfTtIngZaH7QrD%2Bh4aa%2FtBnLJ0KY4ydAT6xCcih9TSgn5ftUURtGSCKFr3ihgqhZZxWRwwsRv9O%2BEK2lq8Dse7TQXWIN3gGmnCZOkxKlbWMtn3c9KrCU8JYOENuWgH8YRdHG85CxPI3juLbc2xhQmKJM3VUPaLTrOdN6n1fX96egkdRb2V%2B5oolzvXjlEVPnM9zXNVmYogBQfCXmq3MjN6DG0MbVAfjWAfPPccR73IrMOS7JSsYuTNss4LbVmrFZe3cAVf0Vj0Vqle5kfeTi0XrIplGmLAA%3D%3D&response-content-disposition=inline%3B+filename%3D%22Ley-21455_13-JUN-2022.pdf%22%3B+filename%2A%3DUTF-8%27%27Ley-21455_13-JUN-2022.pdf&response-content-type=application%2Fpdf"">Framework Law on Climate Change </a> (6/13/2022) ; <a href=""https://unfccc.int/sites/default/files/resource/CHL_LTS_2021.pdf"">Estrategia climática de largo plazo de Chile - camino a la carbono neutralidad y resiliencia a más tardar al 2050</a> (11/3/2021) ; <a href=""https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Chile%20First/Chile's_NDC_2020_english.pdf"">Chile's Nationally Determined Contribution</a> (4/8/2020)",2050,2050 as Target Year,All GHGs Covered,All GHGs Covered,All sectors,All Domestic Sectors Covered,Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Net Target Only,Net Target Only
China,CHN,2020 NDC (Updated First NDC),New or Updated NDC,First NDC,Updated First NDC,Updated First NDC,10/28/2021,INDC Submitted,INDC Submitted,Joined Agreement,Joined Agreement,Yes,Yes,9/3/2016,,Yes,Yes,4/22/2016,24.23%,Compare with previous NDC,Submitted New or Updated NDC with Reduced Total Emissions,Submitted New or Updated NDC with Reduced Total Emissions,"China aims to have CO2 emissions peak before 2030 and achieve carbon neutrality before 2060; to lower CO2 emissions per unit of GDP by over 65% from the 2005 level, to increase the share of non-fossil fuels in primary energy consumption to around 25%, to increase the forest stock volume by 6 billion cubic meters from the 2005 level, and to bring its total installed capacity of wind and solar power to over 1.2 billion kilowatts by 2030.","<a href=""https://unfccc.int/sites/default/files/NDC/2022-06/China%E2%80%99s%20Achievements%2C%20New%20Goals%20and%20New%20Measures%20for%20Nationally%20Determined%20Contributions.pdf"">China First NDC (Updated submission)</a>",10/28/2021,In Policy Document (10/28/2021); In Political Pledge (12/12/2020),Net-zero Target in Policy Document,"<a href=""https://unfccc.int/sites/default/files/resource/China%E2%80%99s%20Mid-Century%20Long-Term%20Low%20Greenhouse%20Gas%20Emission%20Development%20Strategy.pdf"">China’s Mid-Century Long-Term Low Greenhouse Gas Emission Development Strategy</a> (10/28/2021); <a href=""https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/China%20First/China%E2%80%99s%20Achievements,%20New%20Goals%20and%20New%20Measures%20for%20Nationally%20Determined%20Contributions.pdf"">China First NDC (Updated submission)</a> (10/28/2021); <a href=""https://www.climateambitionsummit2020.org/ondemand.php"">Climate Ambition Summit 2020</a> (12/12/2020) <br><a href=""http://finance.sina.com.cn/zl/china/2021-07-27/zl-ikqcfnca9266336.shtml"">Speech</a> (07/27/2021)",2060,Target Year After 2050,GHG Coverage Unclear or Undecided,GHG Coverage Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Net target Only ,Net target Only 
Colombia,COL,2020 NDC (Updated First NDC),New or Updated NDC,First NDC,Updated First NDC,Updated First NDC,12/29/2020,INDC Submitted,INDC Submitted,Joined Agreement,Joined Agreement,Yes,Yes,7/12/2018,,Yes,Yes,4/22/2016,0.54%,Compare with previous NDC,Submitted New or Updated NDC with Reduced Total Emissions,Submitted New or Updated NDC with Reduced Total Emissions,Colombia commits to maximum of 169.44 MtCO2e in 2030 (equivalent to 51% reduction compared to BAU) and reduce black carbon emissions by 40% compared to 2014 in 2030.,"<a href=""https://unfccc.int/sites/default/files/NDC/2022-06/Adjunto 2.  Medidas de mitigaci%C3%B3n_NDC de Colombia 2020.pdf"">Colombia First NDC (Updated submission)</a>",12/29/2020,In Policy Document (11/12/2021); In Political Pledge (11/2/2021),Net-zero Target in Policy Document,"<a href=""https://unfccc.int/sites/default/files/resource/COL_LTS_Nov2021.pdf"">Estrategia climática de largo plazo de Colombia E2050 para cumplir con el Acuerdo de París</a> (11/12/2021); <a href=""https://unfccc-cop26.streamworld.de/webcast/first-part-of-the-high-level-segment-for-heads-o-2"">Speech during COP26 World Leaders Summit</a> (11/2/2021) ",2050,2050 as Target Year,Partial GHG Coverage,Partial GHG Coverage,All sectors,All Domestic Sectors Covered,Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Separate Net and Gross Targets,Separate Net and Gross Targets
Comoros,COM,2020 NDC (Updated First NDC),New or Updated NDC,First NDC,Updated First NDC,Updated First NDC,11/5/2021,INDC Submitted,INDC Submitted,Joined Agreement,Joined Agreement,Yes,Yes,11/23/2016,,Yes,Yes,4/22/2016,0.00%,Compare with previous NDC,Submitted New or Updated NDC with Reduced Total Emissions,Submitted New or Updated NDC with Reduced Total Emissions,"Comoros commits to reduce GHG emissions excluding LULUCF by 23% and increase CO2 removals by 47% by 2030, compared to BAU.","<a href=""https://unfccc.int/sites/default/files/NDC/2022-06/CDN_r%C3%A9vis%C3%A9e_Comores_vf.pdf"">Comoros First NDC (Updated submission)</a>",11/5/2021,In Policy Document,Net-zero Target in Policy Document,"<a href=""https://unfccc.int/sites/default/files/NDC/2022-06/CDN_r%C3%A9vis%C3%A9e_Comores_vf.pdf"">CONTRIBUTION DETERMINEE AU NIVEAU NATIONAL (CDN actualisée); Rapport de synthèse</a> (11/5/2021)",Already achieved and commit to maintain,Not Applicable,All GHGs Covered,All GHGs Covered,All sectors,All Domestic Sectors Covered,Unclear or Undecided,Unclear or Undecided,International Shipping and Aviation Not Included,International Shipping and Aviation Not Included,Net Target Only,Net Target Only
Cook Islands,COK,Only First NDC,Only First NDC,,First NDC,First NDC,9/1/2016,INDC Submitted,INDC Submitted,Joined Agreement,Joined Agreement,Yes,Yes,9/1/2016,,Yes,Yes,6/24/2016,0.00%,,,,,,,,,,,,,,,,,,,,,
Costa Rica,CRI,2020 NDC (Updated First NDC),New or Updated NDC,First NDC,Updated First NDC,Updated First NDC,12/28/2020,INDC Submitted,INDC Submitted,Joined Agreement,Joined Agreement,Yes,Yes,10/13/2016,,Yes,Yes,4/22/2016,0.02%,Compare with previous NDC,Submitted New or Updated NDC with Reduced Total Emissions,Submitted New or Updated NDC with Reduced Total Emissions,Costa Rica commits to a 2030 cap of 9.11 MtCO2e net-emissions and a maximum net-emissions budget of 106.53 MtCO2e from 2021 to 2030.,"<a href=""https://unfccc.int/sites/default/files/NDC/2022-06/Contribucio%CC%81n Nacionalmente Determinada de Costa Rica 2020 - Versio%CC%81n Completa.pdf"">Costa Rica's Updated First NDC</a>",12/28/2020,In Policy Document,Net-zero Target in Policy Document,"<a href=""https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Costa%20Rica%20First/Contribucio%CC%81n%20Nacionalmente%20Determinada%20de%20Costa%20Rica%202020%20-%20Versio%CC%81n%20Completa.pdf"">Costa Rica Updated First NDC</a> (12/28/2020); <a href=""https://unfccc.int/sites/default/files/resource/NationalDecarbonizationPlan.pdf"">Costa Rica's National Decarbonazation Plan</a> (12/12/2019)",2050,2050 as Target Year,GHG Coverage Unclear or Undecided,GHG Coverage Unclear or Undecided,All sectors,All Domestic Sectors Covered,Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Net Target Only ,Net Target Only 
Croatia,HRV,2020 NDC (Updated First NDC),New or Updated NDC,First NDC,Updated First NDC,Updated First NDC,12/17/2020,No Document Submitted,No Document Submitted,Joined Agreement,Joined Agreement,Yes,Yes,5/24/2017,,Yes,Yes,4/22/2016,0.04%,Compare with previous NDC,Submitted New or Updated NDC with Reduced Total Emissions,Submitted New or Updated NDC with Reduced Total Emissions,"The EU and its Member States, acting jointly, commits to reduce emissions by at least 55% by 2030 compared to 1990.","<a href=""https://unfccc.int/sites/default/files/NDC/2022-06/EU_NDC_Submission_December 2020.pdf"">EU Updated First NDC (Croatia)</a>",12/17/2020,In Policy Document,Net-zero Target in Policy Document,"<a href=""https://mingor.gov.hr/UserDocsImages/klimatske_aktivnosti/odrzivi_razvoj/NUS/lts_nus_eng.pdf"">LOW-CARBON DEVELOPMENT STRATEGY OF THE REPUBLIC OF CROATIA UNTIL 2030 WITH A VIEW TO 2050</a> (6/1/2021)",2050,2050 as Target Year,All GHGs Covered,All GHGs Covered,All sectors,All Domestic Sectors Covered,Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Net Target Only ,Net Target Only 
Cuba,CUB,2020 NDC (Updated First NDC),New or Updated NDC,First NDC,Updated First NDC,Updated First NDC,9/17/2020,INDC Submitted,INDC Submitted,Joined Agreement,Joined Agreement,Yes,Yes,12/28/2016,,Yes,Yes,4/22/2016,0.08%,Compare with previous NDC,Submitted New or Updated NDC,Submitted New or Updated NDC,"Cuba commits to generate 24% of electricity from renewable sources and increase forest coverage to 33% by 2030, along with additional measures in the energy, transportation, and agriculture sectors. ","<a href=""https://unfccc.int/sites/default/files/NDC/2022-06/Cuban First NDC %28Updated submission%29.pdf"">NDC Registry</a>; <a href=""https://unfccc.int/sites/default/files/NDC/2022-06/Cuban%20First%20NDC%20Summary%20%28Updated%20submission%29.pdf"">Translation</a>",9/17/2020,,,,,,,,,,,,,,,
Cyprus,CYP,2020 NDC (Updated First NDC),New or Updated NDC,First NDC,Updated First NDC,Updated First NDC,12/17/2020,No Document Submitted,No Document Submitted,Joined Agreement,Joined Agreement,Yes,Yes,1/4/2017,,Yes,Yes,4/22/2016,0.02%,Compare with previous NDC,Submitted New or Updated NDC with Reduced Total Emissions,Submitted New or Updated NDC with Reduced Total Emissions,"The EU and its Member States, acting jointly, commits to reduce emissions by at least 55% by 2030 compared to 1990.","<a href=""https://unfccc.int/sites/default/files/NDC/2022-06/EU_NDC_Submission_December 2020.pdf"">EU Updated First NDC (Cyprus)</a>",12/17/2020,In Political Pledge,Net-zero Target in Political Pledge,"<a href=""https://unfccc-cop26.streamworld.de/webcast/first-part-of-the-high-level-segment-for-heads-o-2"">Speech during COP26 World Leaders Summit</a> (11/2/2021) ",2050,2050 as Target Year,GHG Coverage Unclear or Undecided,GHG Coverage Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Net Target Only ,Net Target Only 
Czech Republic,CZE,2020 NDC (Updated First NDC),New or Updated NDC,First NDC,Updated First NDC,Updated First NDC,12/17/2020,No Document Submitted,No Document Submitted,Joined Agreement,Joined Agreement,Yes,Yes,10/5/2017,,Yes,Yes,4/22/2016,0.22%,Compare with previous NDC,Submitted New or Updated NDC with Reduced Total Emissions,Submitted New or Updated NDC with Reduced Total Emissions,"The EU and its Member States, acting jointly, commits to reduce emissions by at least 55% by 2030 compared to 1990.","<a href=""https://unfccc.int/sites/default/files/NDC/2022-06/EU_NDC_Submission_December 2020.pdf"">EU Updated First NDC (Czechia)</a>",12/17/2020,,,,,,,,,,,,,,,
Democratic Republic of the Congo,COD,2020 NDC (Updated First NDC),New or Updated NDC,First NDC,Updated First NDC,Updated First NDC,12/28/2021,INDC Submitted,INDC Submitted,Joined Agreement,Joined Agreement,Yes,Yes,12/13/2017,,Yes,Yes,4/22/2016,1.37%,Compare with previous NDC,Submitted New or Updated NDC,Submitted New or Updated NDC,The DRC commits to a combined unconditional and conditional contribution of up to 21% reduction in total GHG emissions compared to the BAU in 2030 (19% conditional and 2% unconditional) equivalent to an estimated mitigation level of up to 650 Mt CO2e by 2030.,"<a href=""https://unfccc.int/sites/default/files/NDC/2022-06/CDN Revis%C3%A9e de la RDC.pdf"">Democratic Republic of the Congo First NDC (Updated submission)</a>",12/28/2021,,,,,,,,,,,,,,,
Denmark,DNK,2020 NDC (Updated First NDC),New or Updated NDC,First NDC,Updated First NDC,Updated First NDC,12/17/2020,No Document Submitted,No Document Submitted,Joined Agreement,Joined Agreement,Yes,Yes,11/1/2016,,Yes,Yes,4/22/2016,0.09%,Compare with previous NDC,Submitted New or Updated NDC with Reduced Total Emissions,Submitted New or Updated NDC with Reduced Total Emissions,"The EU and its Member States, acting jointly, commits to reduce emissions by at least 55% by 2030 compared to 1990.","<a href=""https://unfccc.int/sites/default/files/NDC/2022-06/EU_NDC_Submission_December 2020.pdf"">EU Updated First NDC (Denmark)</a>",12/17/2020,In Policy Document (12/30/2020); <br>In Law (6/12/2019),Net-zero Target in Law,"<a href=""https://unfccc.int/sites/default/files/resource/ClimateProgramme2020-Denmarks-LTS-under-the%20ParisAgreement_December2020_.pdf"">Climate Programme 2020</a> (12/30/2020); <br><a href=""https://kefm.dk/aktuelt/nyheder/2019/dec/klimalov/"">Broad Agreement on Ambitious and Binding Climate Law</a> (6/12/2019)",2050,2050 as Target Year,All GHGs Covered,All GHGs Covered,All sectors,All Domestic Sectors Covered,Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Net Target Only,Net Target Only
Djibouti,DJI,Only First NDC,Only First NDC,,First NDC,First NDC,11/11/2016,INDC Submitted,INDC Submitted,Joined Agreement,Joined Agreement,Yes,Yes,11/11/2016,,Yes,Yes,4/22/2016,0.00%,,,,,,,,,,,,,,,,,,,,,
Dominica,DMA,2020 NDC (Updated First NDC),New or Updated NDC,First NDC,Updated First NDC,Updated First NDC,7/4/2022,INDC Submitted,INDC Submitted,Joined Agreement,Joined Agreement,Yes,Yes,9/21/2016,,Yes,Yes,4/22/2016,0.00%,Compare with previous NDC,Submitted New or Updated NDC,Submitted New or Updated NDC,Dominica commits to reducing its greenhouse gas emissions by 45% below 2014 levels by 2030.,"<a href=""https://unfccc.int/sites/default/files/2022-07/The Commonwealth of Dominica updated NDC July 4 %2C.pdf"">The Commonwealth of Dominica Updated National Determined Contribution</a>",7/4/2022,,,,,,,,,,,,,,,
Dominican Republic,DOM,2020 NDC (Updated First NDC),New or Updated NDC,First NDC,Updated First NDC,Updated First NDC,12/28/2020,INDC Submitted,INDC Submitted,Joined Agreement,Joined Agreement,Yes,Yes,9/21/2017,,Yes,Yes,4/22/2016,0.08%,Compare with previous NDC,Submitted New or Updated NDC,Submitted New or Updated NDC,Dominican Republic commits to reduce emissions by 27% (7% unconditional to domestic finances and 20% conditional to external finances) by 2030 compared to BAU.,"<a href=""https://unfccc.int/sites/default/files/NDC/2022-06/Dominican Republic First NDC %28Updated Submission%29.pdf"">Dominican Republic First NDC (Updated submission)</a>",12/28/2020,In Policy Document,Net-zero Target in Policy Document,"<a href=""https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Dominican%20Republic%20First/Dominican%20Republic%20First%20NDC%20(Updated%20Submission).pdf"">Dominican Republic First NDC (Updated submission)</a> (12/28/2020)",2050,2050 as Target Year,All GHGs Covered,All GHGs Covered,All sectors,All Domestic Sectors Covered,Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Net Target Only,Net Target Only
Ecuador,ECU,Only First NDC,Only First NDC,INDC,First NDC,First NDC,3/29/2019,INDC Submitted,INDC Submitted,Joined Agreement,Joined Agreement,Yes,Yes,9/20/2017,,Yes,Yes,7/26/2016,0.20%,,,,,,,,,,,,,,,,,,,,,
Egypt,EGY,2020 NDC (Updated First NDC),New or Updated NDC,First NDC,Updated First NDC,Updated First NDC,7/7/2022,INDC Submitted,INDC Submitted,Joined Agreement,Joined Agreement,Yes,Yes,6/29/2017,,Yes,Yes,4/22/2016,0.71%,Compare with previous NDC,Submitted New or Updated NDC,Submitted New or Updated NDC,"Egypt commits to reducing its electricity emissions by 33%, its oil and gas emissions by 65%, and its transport emissions by 7% by 2030 relative to BAU. ","<a href=""https://unfccc.int/sites/default/files/NDC/2022-07/Egypt Updated NDC.pdf.pdf"">Egypt's First Updated National Determined Contribution</a>",7/7/2022,,,,,,,,,,,,,,,
El Salvador,SLV,2020 NDC (Updated First NDC),New or Updated NDC,First NDC,Updated First NDC,Updated First NDC,1/4/2022,INDC Submitted,INDC Submitted,Joined Agreement,Joined Agreement,Yes,Yes,3/27/2017,,Yes,Yes,4/22/2016,0.03%,Compare with previous NDC,Submitted New or Updated NDC,Submitted New or Updated NDC,"El Salvador commits to reducing its annual emissions for the Energy sector by between 640 ktCO2e (unconditional) and 819 ktCO2e (conditional) relative to BAU by 2030, and, for the period of 2035-2040, to reducing its cumulative emissions in the AFOLU sector since 2015 by 50 MtCO2e (conditional). ","<a href=""https://unfccc.int/sites/default/files/NDC/2022-06/El Salvador NDC- Updated Dic.2021.pdf"">El Salvador First NDC (Updated submission)</a>",1/4/2022,,,,,,,,,,,,,,,
Equatorial Guinea,GNQ,2020 NDC (Updated First NDC),New or Updated NDC,First NDC,Updated First NDC,Updated First NDC,10/24/2022,INDC Submitted,INDC Submitted,Joined Agreement,Joined Agreement,Yes,Yes,10/30/2018,,Yes,Yes,4/22/2016,0.03%,Compare with previous NDC,Submitted New or Updated NDC with Reduced Total Emissions,Submitted New or Updated NDC with Reduced Total Emissions,"Equatorial Guinea commits to reducing its emissions by 35% by 2030 and by 50% by 2050, compared to 2019 levels, conditional on international support. ","<a href=""https://unfccc.int/sites/default/files/NDC/2022-10/CND-GuineaEcuatorial-Version2022-Actualizada.pdf"">Equatorial Guinea NDC 2022 Update</a>",10/24/2022,,,,,,,,,,,,,,,
Eritrea,ERI,Only First NDC,Only First NDC,,First NDC,First NDC,6/19/2018,INDC Submitted,INDC Submitted,Signed Agreement,Signed Agreement,No,No,,,Yes,Yes,4/22/2016,0.01%,,,,,,,,,,,,,,,,,,,,,
Estonia,EST,2020 NDC (Updated First NDC),New or Updated NDC,First NDC,Updated First NDC,Updated First NDC,12/17/2020,No Document Submitted,No Document Submitted,Joined Agreement,Joined Agreement,Yes,Yes,11/4/2016,,Yes,Yes,4/22/2016,0.03%,Compare with previous NDC,Submitted New or Updated NDC with Reduced Total Emissions,Submitted New or Updated NDC with Reduced Total Emissions,"The EU and its Member States, acting jointly, commits to reduce emissions by at least 55% by 2030 compared to 1990.","<a href=""https://unfccc.int/sites/default/files/NDC/2022-06/EU_NDC_Submission_December 2020.pdf"">EU Updated First NDC (Estonia)</a>",12/17/2020,In Political Pledge,Net-zero Target in Political Pledge,"<a href=""https://www.europarl.europa.eu/thinktank/de/document/EPRS_BRI(2021)690684"">Announcement in support of EU's climate neutrality target </a> (1/25/2021)",2050,2050 as Target Year,All GHGs Covered,All GHGs Covered,Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Net Target Only,Net Target Only
Eswatini,SWZ,2020 NDC (Updated First NDC),New or Updated NDC,First NDC,Updated First NDC,Updated First NDC,10/12/2021,INDC Submitted,INDC Submitted,Joined Agreement,Joined Agreement,Yes,Yes,9/21/2016,,Yes,Yes,4/22/2016,0.01%,Compare with previous NDC,Submitted New or Updated NDC,Submitted New or Updated NDC,Eswatini commits to reducing its emissions by 5% (unconditional) and 14% (conditional) by 2030 compared to BAU. ,"<a href=""https://unfccc.int/sites/default/files/NDC/2022-06/Eswatini%27s Revised NDC 12 Oct 2021.docx"">Eswatini First NDC (Updated submission)</a>",10/12/2021,,,,,,,,,,,,,,,
